"Var1" "Var2" "value"
"1" 1 "sqlossfull_a_i" 0.849124503549573
"2" 2 "sqlossfull_a_i" 0.915872099267443
"3" 3 "sqlossfull_a_i" 0.975305119122658
"4" 4 "sqlossfull_a_i" 0.888894422115358
"5" 5 "sqlossfull_a_i" 1.10886899992437
"6" 6 "sqlossfull_a_i" 1.11526142886342
"7" 7 "sqlossfull_a_i" 1.09280732576877
"8" 8 "sqlossfull_a_i" 0.978114040120721
"9" 9 "sqlossfull_a_i" 0.966654112100422
"10" 10 "sqlossfull_a_i" 0.937007128561105
"11" 11 "sqlossfull_a_i" 1.24529604124139
"12" 12 "sqlossfull_a_i" 1.00620671381423
"13" 13 "sqlossfull_a_i" 0.963120441913936
"14" 14 "sqlossfull_a_i" 0.973402981894227
"15" 15 "sqlossfull_a_i" 0.969906631612443
"16" 16 "sqlossfull_a_i" 0.966251443381301
"17" 17 "sqlossfull_a_i" 1.01299280436243
"18" 18 "sqlossfull_a_i" 1.16809677674518
"19" 19 "sqlossfull_a_i" 0.902651803646667
"20" 20 "sqlossfull_a_i" 0.999458441274761
"21" 21 "sqlossfull_a_i" 1.13867322659973
"22" 22 "sqlossfull_a_i" 0.937986589915758
"23" 23 "sqlossfull_a_i" 0.947539577759518
"24" 24 "sqlossfull_a_i" 0.919206856776339
"25" 25 "sqlossfull_a_i" 1.05816720690817
"26" 26 "sqlossfull_a_i" 0.845819885504621
"27" 27 "sqlossfull_a_i" 1.08156335498477
"28" 28 "sqlossfull_a_i" 0.966766948608363
"29" 29 "sqlossfull_a_i" 0.955684469362166
"30" 30 "sqlossfull_a_i" 1.16306211886736
"31" 31 "sqlossfull_a_i" 1.09222157257744
"32" 32 "sqlossfull_a_i" 0.925196411663161
"33" 33 "sqlossfull_a_i" 0.966927324721624
"34" 34 "sqlossfull_a_i" 1.1405579964013
"35" 35 "sqlossfull_a_i" 1.05074824660105
"36" 36 "sqlossfull_a_i" 0.820481629437652
"37" 37 "sqlossfull_a_i" 1.06511776352041
"38" 38 "sqlossfull_a_i" 1.08736358551382
"39" 39 "sqlossfull_a_i" 1.02324209190972
"40" 40 "sqlossfull_a_i" 0.924775718048361
"41" 41 "sqlossfull_a_i" 1.07236914183854
"42" 42 "sqlossfull_a_i" 0.77396131738818
"43" 43 "sqlossfull_a_i" 0.97780009587914
"44" 44 "sqlossfull_a_i" 1.08107302967477
"45" 45 "sqlossfull_a_i" 1.16340563699688
"46" 46 "sqlossfull_a_i" 1.12062920549019
